id,description
144,"Trout silhouette t-shirt - The simplicity of the Silhouette T-Shirt embodies the trout's need for purity: only clean, cold water will do. The tee's printed on a canvas of 100% organic cotton fabric that's ringspun for softness, and has taped shoulder seams and double stitching at sleeves and hem for added durability. Coverstitching at neck and armholes lend a clean finish. Recyclable through the Common Threads Recycling Program.Details: Ringspun yarns for a softer hand Taped shoulder seams Screen-print inks are PVC- and phthalate-freeFabric: 5.4-oz 100% organic cotton. Recyclable through the Common Threads Recycling ProgramWeight: (199 g 6.9 oz)Made in USA."
145,"Trucker hat - For big rigs or big hair, this is a classic road-tripping hat with lots of volume. Its retro styling features a fabric blend of 47% organic cotton/28% nylon/25% polyester mesh for a cool, ventilated and skin-savvy fit. The generous front bill is precurved; with adjustable tabs in back.Details: Made from organic cotton canvas and polyester mesh for all-day comfort Shapeable bill for sun protection Adjustable tabs in back customize fit Large volume accommodates big hairFabric: Front crown: 10-oz 100% organic cotton canvas. Back crown: 100% polyester meshWeight: 85 g (3 oz)Made in China."
146,"Twenty-three's board shorts - Stay covered in our water-tested Wavefarer board short design, with a longer 23"" outseam. To prevent wax rash and rail rub, the Twenty-Threes are made from smooth, quick-drying, DWR-treated 100% nylon, with a forward inseam that won't chafe. A flat-lying, single-button gusseted fly and secure tie entry ensure they won't come off in the spin cycle, while an easy-access, self-draining side zip pocket with key loop keeps your stash intact. Inseam (size 32) is 12"". Recyclable through the Common Threads Recycling Program.Details: ""Recyclable, lightweight nylon with a DWR (durable water repellent) finish; flat-lying single-button fly and 3-piece, self-lined waistband contours to hip line"" ""Horizontal self-draining side-seam zip pocket with a secure zip, and internal key loop"" Forward inseam at crotch eliminates chafing Hem hits below the knee Lower rise ""Inseam is 12""""; outseam is 21"""""" Now available in size 29Fabric: 4.3-oz 100% nylon with DWR finish. Recyclable through the Common Threads Recycling ProgramWeight: (199 g 6.9 oz)Made in Thailand."
147,"Ultra shorts - Our ever-popular long-cut, quick-drying Ultra Shorts use lightweight 50-denier polyester ripstop with a wicking finish to stay cool and comfortable, mile after mile. Pockets: two front drop-ins, two large back drop-ins - one with stitched compartments to keep energy gels secure - and one zippered security below the waistband to hold a car key. With an interior drawcord, and a lightweight, breathable built-in liner that extends into the waistband for a comfortable fit. Inseam (size M) is 9"". The reflective heat-transfer logo and reflective graphic keep you visible. Recyclable through the Common Threads Recycling Program.Details: Lightweight fabric speeds dry times and has a smooth hand for non-chafing comfort ""Lightweight, breathable, moisture-wicking, built-in liner extends into waistband for a comfortable fit"" Interior drawcord Two front drop-in pockets and two large back pockets; one featuring stitched compartments to keep items secure and a zippered security pocket at waistband Reflective heat-transfer logo and graphic ""9"""" inseam""Fabric: 3.5-oz 50-denier polyester ripstop with a wicking finish. Lining: 3.8-oz microdenier polyester crepe with moisture-wicking performance. Recyclable through the Common Threads Recycling ProgramWeight: (207 g 7.2 oz)Made in Vietnam."
148,"Ulw hiking crew socks - The heat along the Boucher Trail can shut you down fast. These airy hikers, with their dynamic fabric blend of 75% chlorine-free merino wool/21% nylon/4% spandex, manage the moisture from miles of hardpan and preserve a cool airflow so you can keep up the pace. A lightweight looped construction throughout the footbed cushions bruising terrain and an open knit weave over the arch vents excess heat. Our Looped Lintoe construction creates an ultra-flat, toe-friendly seam.Details: ""Wool blend strategically knit to balance wicking performance, cushioning and durability"" Ultra-lightweight looped construction on footbed provides maximum cushioning with least bulk ""Felted wool yarns are chlorine-free, itch-free and offer long-term stability and performance"" Open knit construction on top of foot vents excess heat and helps to moderate foot temperature Looped Lintoe construction creates the smallest and flattest seam possible for ultimate toe comfortFabric: 75% chlorine-free merino wool/21% nylon/4% spandexWeight: (43 g 1.5 oz)Made in USA."
149,"Velocity cap - When you're running the parched, open slopes of Black Mountain, our Velocity Cap keeps your head in a current of cool air. It has built-in breathability through its mesh panels and a wispy crown made from 100% polyester to deflect heat. The 5-panel design allows a close fit that customizes via a low-profile elastic and buckle closure. A wicking Coolmax headband keeps sweat out of your eyes and a dark underbill shades them from glare.Details: Adjustable rear buckle with elastic for snug fit Coolmax headband to wick moisture Dark underbill reduces glare Sanded fabric is soft against skinFabric: 3.2-oz 100% polyesterWeight: (75 g 2.6 oz)Made in China."
150,"Watermaster hip highs - Originally made for Midwest spring creek aficionados, the Watermaster Hip Highs are finding fans among backcountry trekkers, jetty scramblers, skinny water paddlers and other minimalist anglers. Rest assured, these are not your grandpa's floppy rubber hip boots, either. The Watermasters are made from our proprietary waterproof/breathable polyester microfiber fabric with H2No Hydrostorm barrier for durable, sweat-free performance. Quick-release buckle hip adjustments, top hem drawcord and gripper elastic strip provide secure, flop-free upper leg fit. Down below, specifically designed left and right neoprene booties and built-in fabric gravel guards with abrasion resistant scuff zones keep feet protected and comfortable.Details: Specifically designed left and right legs and booties Quick-release buckle hip adjustments Top hem drawcord and gripper elastic strip for secure upper leg fit ""Built-in, heavyweight reinforcement fabric gravel guards with abrasion resistance scuff zones"" ""1 1/4"""" gripper elastic gravel guard cuffs"" ""Concealed stainless steel, locking boot hooks secure cuff to boot and avoid line catch; Stretch Wading Belt with a quick-release DuraFlex Stealth-V buckle provides smooth function and an easy adjustable fit""Fabric: ""Legs: 3-layer, 7-oz polyester microfiber with proprietary H2No Hydrostorm waterproof/breathable barrier and Deluge DWR (durable water repellent finish). Gravel guards: 6.35-oz polyester microfiber double weave. Booties: 3-mm neoprene with abrasion-resistant fabric soles""Weight: (669 g 23.2 oz)Made in China."
151,"World according to bikers t-shir - Our health and the health of the planet cycle around interconnectedness. Featuring original work by the art team Heads of State, the World According to Bikers T-Shirt is printed on organic (100%) cotton. The V-neck shirt features an inside message about the movement to create a complete, interconnected transportation network for cyclists (bikeleague.org for more info). Recyclable through the Common Threads Recycling Program.Details: Ringspun yarns for a softer hand Taped shoulder seams Screen-print inks are PVC- and phthalate-freeFabric: 4.4-oz 100% organic cotton. Recyclable through the Common Threads Recycling ProgramWeight: (150 g 5.2 oz)Made in USA."
152,"World trout t-shirt - James Prosek recreates the view from above, mimicking the energy of the fish with unique line art. Five dollars from the sale of each shirt will benefit World Trout, an organization that supports conservation efforts and identifies and protects native fish. Learn more about Patagonia's fly fishing line and World Trout at www.patagonia.com/fishing. Made from 100% organic cotton, the tee is recyclable through the Common Threads Recycling Program.Details: Ringspun yarns for a softer hand Taped shoulder seams Screen-print inks are PVC- and phthalate-freeFabric: 5.4-oz 100% organic cotton. Recyclable through the Common Threads Recycling ProgramWeight: (199 g 6.9 oz)Made in USA."
153,"Watermaster waders - long - Blackberries, barbwire, basalt...the fact is, we ask a lot of our waders - most importantly, that they keep us dry through all sorts of abuse. The new version of our Watermaster Waders accomplishes this on a number of fronts: First, our proprietary waterproof/breathable polyester microfiber fabric package with H2No Hydrostorm barrier is quantitatively more puncture resistant than the competition. Then, because wet is wet, whether it comes from inside or out, we use lighter, more breathable fabric up top and a tougher version below. Finally, and not to be overlooked, our innovative internal suspension system makes it easier than ever to, uh...relieve yourself without taking off jacket or vest. Something to consider in a driving rainstorm. It all adds up to an incredibly dry, durable and lightweight pair of waders. In other words, Watermasters. Field repair kit included.Details: Polyester microfiber shell with a proprietary waterproof/breathable H2No Hydrostorm barrier and Deluge DWR (durable water repellent) finish; Inside zippered main pocket (with piggyback mesh pocket and internal key/tool loop) flips out for quick access ""Unique, waist-mounted suspender allows easy conversion from chest to waist height; TPU post and slot design on front and back of suspenders offers security when wading deep and for roll down, waist high comfort"" Anatomically curved knees and modified Y-Joint crotch; inside leg seams are positioned away from wear zones ""Specifically designed left and right legs and booties; built-in, heavyweight reinforcement fabric gravel guards with abrasion resistance scuff zones"" ""1 1/4"""" gripper elastic gravel guard cuffs; concealed stainless steel, locking boot hooks secure cuff to boot and avoid line catch"" Stretch Wading Belt with a quick-release DuraFlex Stealth-V buckle provides smooth function and an easy adjustable fit Field repair kit includedFabric: ""Upper: 3-layer, 5.2-oz polyester microfiber twill shell with a proprietary waterproof/ breathable H2No Hydrostorm barrier and Deluge&#174; DWR (durable water repellent) finish. Lower torso and legs: 3-layer, 7-oz polyester microfiber reinforcement fabric with proprietary H2No Hydrostorm barrier and Deluge DWR finish. Gravel guards: 6.35-oz polyester microfiber with Deluge DWR finish. Booties: 3-mm neoprene with abrasion-resistant fabric soles""Weight: (1096 g 38 oz)Made in China."
154,"Watermaster waders - short - Blackberries, barbwire, basalt...the fact is, we ask a lot of our waders - most importantly, that they keep us dry through all sorts of abuse. The new version of our Watermaster Waders accomplishes this on a number of fronts: First, our proprietary waterproof/breathable polyester microfiber fabric package with H2No Hydrostorm barrier is quantitatively more puncture resistant than the competition. Then, because wet is wet, whether it comes from inside or out, we use lighter, more breathable fabric up top and a tougher version below. Finally, and not to be overlooked, our innovative internal suspension system makes it easier than ever to, uh...relieve yourself without taking off jacket or vest. Something to consider in a driving rainstorm. It all adds up to an incredibly dry, durable and lightweight pair of waders. In other words, Watermasters. Field repair kit included.Details: Polyester microfiber shell with a proprietary waterproof/breathable H2No Hydrostorm barrier and Deluge DWR (durable water repellent) finish; Inside zippered main pocket (with piggyback mesh pocket and internal key/tool loop) flips out for quick access ""Unique, waist-mounted suspender allows easy conversion from chest to waist height; TPU post and slot design on front and back of suspenders offers security when wading deep and for roll down, waist high comfort"" Anatomically curved knees and modified Y-Joint crotch; inside leg seams are positioned away from wear zones ""Specifically designed left and right legs and booties; built-in, heavyweight reinforcement fabric gravel guards with abrasion resistance scuff zones"" ""1 1/4"""" gripper elastic gravel guard cuffs; concealed stainless steel, locking boot hooks secure cuff to boot and avoid line catch"" Stretch Wading Belt with a quick-release DuraFlex Stealth-V buckle provides smooth function and an easy adjustable fit Field repair kit includedFabric: ""Upper: 3-layer, 5.2-oz polyester microfiber twill shell with a proprietary waterproof/ breathable H2No Hydrostorm barrier and Deluge&#174; DWR (durable water repellent) finish. Lower torso and legs: 3-layer, 7-oz polyester microfiber reinforcement fabric with proprietary H2No Hydrostorm barrier and Deluge DWR finish. Gravel guards: 6.35-oz polyester microfiber with Deluge DWR finish. Booties: 3-mm neoprene with abrasion-resistant fabric soles""Weight: (1096 g 38 oz)Made in China."
155,"Active hipster - While the perfect life might be nomadic, the perfect underwear should stay put. Low-riding Active Hipsters have an extra-wide waistband and newly redesigned single-sided leg binding that won't wander or restrict. Ultra-soft and pliable, the fabric manages moisture and breathes, keeping you comfortable and dry. Solids and prints: 4.6-oz 96% nylon/4% spandex. Stripes: 5.6-oz 93% polyester (58% recycled)/7% spandex.Details: ""Solids and prints made of smooth, stretchy nylon; stripes made of soft, stretchy polyester, both wick moisture"" ""Comfy, extra-wide waistband lies flat, won't roll or bind, breathable mini-rib crotch, soft, single-sided binding at leg openings won't chafe or creep""Fabric: Solids and prints: 4.6-oz 96% nylon/4% spandex. Stripes: 5.6-oz 93% polyester (58% recycled)/7% spandex. All with moisture-wicking performanceWeight: 42 g (1.5 oz)Made in Israel."
156,"Active mesh bra - Despite its inability to act as a belay slave, our Active Mesh Bra makes a perfect climbing partner. The body-conforming fabric provides fluid support and wicks moisture, while the seamless construction eliminates chafing. Comfortable nonslip straps won't dig into skin; they contour to a flattering V in back for unobstructed movement. The full-coverage design can go solo, or partner with layers. Made from 95% nylon mesh/5% spandex.Details: ""Stretchy, body-conforming nylon/spandex blend is ultradurable, supportive and wicks moisture to keep skin dry"" Seamless construction ""Comfortable, nonslip straps meet V-style in back""Fabric: 8.1-oz 95% nylon mesh/5% spandex with moisture-wicking performanceWeight: (72 g 2.5 oz)Made in Israel."
157,"All-out capris - Jam a pair of these highly compressible capris into your pack for hot-weather comfort in high places. Made from a moisture-wicking blend of 88% polyester/12%spandex, the 4-way stretch fabric has amazing give and rough-rock fortitude. The straight legs are cut with a slight flare at the cuff and feature two front drop-in pockets and a single stealth right thigh pocket. The harness-compatible, low-rise waist now secures with a drawcord and a zip fly with snap closure. Includes rear darts for shape and an improved custom fit. Inseam (size 8) is 22"".Details: ""Features a blend of polyester and spandex for total mobility, a light drape, fast dry time and abrasion resistance; fabric is lightweight and cool"" ""Clean, low-profile waist with zip fly and snap closure"" Straight leg with stash pocket on right thigh Front drop-in pockets Low rise ""Inseam (size 8) is 22""""""Fabric: ""4.6-oz 88% polyester/12% spandex, with 4-way stretch""Weight: (210 g 7.3 oz)Made in Vietnam."
158,"All weather training top - Whether you're hitting your stride on Ojai's Pratt Trail or finding your chi in the yoga studio, sometimes a quick escape is all you need. This simplified and functional multisport training top stretches, breathes, and features wider straps for pack-wearing comfort and a full-coverage back for underlayer compatibility. The updated lighter fabric (88% polyester/12% spandex) is supple, durable and stretchy, the offset shoulder seams reduce chafe, and the asymmetrical side seams do the same under a waist belt or climbing harness. A revised, simple V-shaped neck helps keep you cool, while a reflective heat-transfer logo keeps you visible.Details: ""Supple, durable, stretchy knit fabric that's highly breathable"" Offset shoulder seams to reduce chafe Wide straps and v-neck front with full coverage back for compatibility with undergarments Asymmetrical side seams work well beneath harnesses and packs Reflective heat-transfer logoFabric: 5.6-oz 88% polyester/12% spandexWeight: (103 g 3.6 oz)Made in Vietnam."
159,"Alpine guide pants - Skin in, climb ice, switch to rock, traverse a knife-edge ridge and boogie back down - these durable, weather-resistant and breathable soft-shell pants keep stride on every mountain endeavor. The midweight stretch-woven polyester won't restrict your moves, and the brushed interior maintains next-to-skin comfort. A 2-way zippered fly keeps things easy with a harness on, and the gusseted, zippered cuffs have 2-position snaps and tie-down loops. With water-resistant zippered pockets: two front, two thigh, one back hip. Recyclable through the Common Threads Recycling Program.Details: Durable stretch-woven polyester is water- and wind-resistant and highly breathable Brushed interior for next-to-skin comfort Waistband has elastic on back and belt loops; zippered fly ""External pockets: two front slash, two glued-on thigh; all with DWR (durable water repellent) treated zippers"" ""Gusseted, adjustable cuffs have two positions and tie-down loops""Fabric: 7.6-oz 90-denier 92% polyester (47% recycled)/8% spandex with Deluge DWR finish. Recyclable through the Common Threads Recycling ProgramWeight: (577 g 20 oz)Made in Vietnam."
160,"Aravis hoody - The Lochsa River season ushers in snowmelt wavetrains and ice cream headaches. Warm up at the take-out with the Aravis Hoody - a cozy full-zip hooded cardigan made from exceptionally soft, brushed polyester. It has a shaped fit, Capilene-trimmed edges and a fitted hood. Pockets: two zippered handwarmers, a left-sleeve security and interior drop-ins. Recyclable through the Common Threads Recycling Program.Details: Made from cozy soft polyester fleece Updated hood styling Full front zipper ""Capilene 3 fabric trims hood, pockets, cuffs and hem"" Hooded for added warmth Zippered handwarmer pockets; zippered sleeve security pocket; interior drop-in pocketsFabric: 5.9-oz 100% polyester brushed double-sided fleece. Recyclable through the Common Threads Recycling ProgramWeight: 340 g (12 oz)Made in Vietnam."
161,"Aravis jkt - The highly adaptable Aravis Jacket eases the transition from icy hibernation to full-fledged charging. The lightweight jacket's dense, double-sided polyester fleece fabric (100%) is brushed for softness; Capilene 3 fabric trims the neck, pockets, cuffs and hem lending a clean style. Full front zipper and stand-up collar preserve warmth. Zippered handwarmer pockets shield chilled paws; interior drop-in pockets and zippered sleeve security pocket stash keys and snacks. Recyclable through the Common Threads Recycling Program.Details: Made of cozy soft polyester fleece Full front zipper with stand up collar for warmth ""Capilene 3 fabric trims neck, pockets, cuffs and hem"" Zippered handwarmer pockets; zippered sleeve security pocket; interior drop-in pocketsFabric: 5.9-oz 100% polyester brushed double-sided fleece. Recyclable through the Common Threads Recycling ProgramWeight: (369 g 12.8 oz)Made in Vietnam."
162,"Astrid tank - Conjure up Cardiff's shouldery waves with the Astrid Tank. The unbelievably soft, strappy tank has a flattering scoop neck and is made from our lightest weight organic cotton (55%)/Tencel jersey (45%) fabric blend. Feminine neck gathers and a wide-banded hem at the hip lend a flattering, drapy fit. Recyclable through the Common Threads Recycling Program.Details: Our lightest weight organic cotton and Tencel blend Strappy tank with flattering scoop neck Gathers at neck for fit and drape Wide-banded hem Hip lengthFabric: 4-oz 55% organic cotton/45% Tencel jersey. Recyclable through the Common Threads Recycling ProgramWeight: (115 g 4 oz)Made in Thailand."
163,"Bandha dress - Boulder in this dress. Get married in it. Carry it in your pack through the  Pyren?es for unscheduled romantic opportunities. Light, sleeveless, sexy and fully mobile, the Bandha's V-neck drops into a knotted bodice with a high waist and an A-line drape. Made from fabric (92% nylon/8% spandex) originally developed for climbing tights, the dress has enough resiliency and shape retention to shake off wrinkles and dust. Below-knee length; 46"" from shoulder to hem (size M). Recyclable through the Common Threads Recycling Program.Details: Stretchy and soft synthetic jersey knit; excellent shape retention; wicks moisture; brushed interior V-neck with center-front twist; sleeveless A-line for mobility Hemline falls below the kneeFabric: 6-oz 92% nylon/8% spandex smooth-faced jersey knit with moisture-wicking performance. Recyclable through the Common Threads Recycling ProgramWeight: 289 g (10.2 oz)Made in Mexico."
164,"Bandha top - This versatile top combines a striking French twist with soft, stretchy fabric. And it's sleeveless, for full arm mobility without sacrificing shoulder coverage. A flattering V-neck vents excess heat. Made from 92% nylon/8% spandex smooth-faced knit, with moisture-wicking performance. Recyclable through the Common Threads Recycling Program.Details: ""Ultra-stretchy, soft fabric offers excellent shape retention, wicks moisture and dries fast"" V-neck design with center-front twist is flattering Sleeveless for ultimate mobility without sacrificing shoulder coverage Hip lengthFabric: 6-oz 92% nylon/8% spandex smooth-faced jersey knit with moisture-wicking performance. Recyclable through the Common Threads Recycling ProgramWeight: 133 g (4.7 oz)Made in Mexico."
165,"Barely bikini - Better than going commando, our petal-soft Barely Bikini wicks moisture and breathes to keep you comfortable with a feminine lace-like texture and seamless construction for ultimate comfort. Low-rise with the least coverage of our bottoms, this bikini style minimizes panty lines and single-ply elastic binding is featherweight and won't chafe. Made from a blend of 94% polyester (73% recycled)/6% spandex. Pairs with our Barely Bra and Barely Everyday Bra. Recyclable through the Common Threads Recycling Program.Details: Petal-soft and featherweight recycled-polyester/spandex blend manages moisture and breathes to keep you cool Seamless construction Lace-like texture is integral to fabric Pairs with our Women's Barely Bra and Women's Barely Everyday BraFabric: ""4.6-oz 94% polyester (73% recycled)/6% spandex, with a moisture-wicking finish. Recyclable through the Common Threads Recycling Program""Weight: (17 g 0.6 oz)Made in Israel."
166,"Better sweater jkt - The Better Sweater Jacket has all the lightweight, moisture-wicking warmth of a high-performance fleece but travels incognito as a dignified sweater. The richly textured, cross-dyed fabric has a soft fleece interior and a heathered sweater-knit face. Toasty Capilene 3 fabric trims the wind flap, cuffs, hem and pockets. With a stand-up collar, zippered handwarmer pockets, interior drop-in pockets and a zippered left-sleeve pocket. Recyclable through the Common Threads Recycling Program.Details: ""Very soft fleece fabric has sweater-knit face, fleeced interior and heathered overdye yarns with a knit-like texture"" Wind-flapped front zipper has a zipper garage ""Capilene 3 fabric trims windflap, pockets, cuffs and hem"" Zippered handwarmer pockets; zippered sleeve security pocket; interior drop-in pocketsFabric: 9.5-oz 100% polyester with sweater-knit exterior and fleece interior. Recyclable through the Common Threads Recycling ProgramWeight: 470 g (16.6 oz)Made in Thailand."
167,"Birdwalk t-shirt - Temporarily grounded, artist Chris Del Moro's Scandinavian-inspired birds elegantly stretch their legs across the Birdwalk T-Shirt. Made from 100% organic cotton, the shirt's Anika fit features a longer torso that's form-fitting, shorter sleeves and wide, deep neckline. Taped shoulder seams and ringspun fabric yarns are soft next-to-skin. The lightweight tee is recyclable through the Common Threads Recycling Program.Details: Ringspun yarns for a softer hand Taped shoulder seams Screen-print inks are PVC- and phthalate-freeFabric: 4.4-oz 100% organic cotton. Recyclable through the Common Threads Recycling ProgramWeight: (112 g 3.9 oz)Made in USA."
168,"Borderless capris - Unfazed by gloppy spindrift, Borderless Capris relish trails that more resemble creeks. The versatile Borderless Capris are made from a moisture-wicking blend of stretchy nylon/spandex fabric with built-in 40-UPF sun protection. Articulated knee patches, front and back, provide unrestricted movement. A master stasher, the capris have two front pockets, two back pockets and a zippered security pocket on the right thigh. Zip fly and double-snap closure at the waist. Drawcords at leg cuffs prevent slippage; inseam (size 8) is 23"". Recyclable through the Common Threads Recycling Program.Details: ""Stretchy recycled nylon fabric combines wicking performance, mobility and good looks; zip fly with double-snap closure"" Waistband with belt loops 2 front patch pockets; 2 welted back pockets; zippered security patch pocket on right leg Articulated knee patches Drawcords at leg cuffs Regular rise ""Inseam (size 8) is 23""""""Fabric: 4-oz 95% nylon (60% recycled)/5% spandex with DWR (durable water repellent) finish. Recyclable through the Common Threads Recycling ProgramWeight: (253 g 8.8 oz)Made in Vietnam."
169,"Bouquet t-shirt - A garland of peacocks, deer and mandalas grace the feminine Bouquet T-Shirt, calling forth the child-like wonder of artist Mati McDonough's work. The tee's Anika fit features a longer torso that's form-fitting, shorter sleeves and wide, deep neckline. Printed with PVC- and phthalate-free inks on 100% organic cotton, the lightweight shirt has taped shoulder seams for added softness. Recyclable through the Common Threads Recycling Program.Details: Ringspun yarns for a softer hand Taped shoulder seams Screen-print inks are PVC- and phthalate-freeFabric: 4.4-oz 100% organic cotton. Recyclable through the Common Threads Recycling ProgramWeight: (112 g 3.9 oz)Made in USA."
170,"Butterfly logo t-shirt - Like Monarchs, the Butterfly Logo T-Shirt is delicate in appearance, but built to endure migrations of epic proportions. Artist Nikki McClure's work floats across a canvas of 100% organic cotton that's ringspun for softness. The slightly-shaped tee has an athletic, classic boy fit and features a traditional crew neck. PVC- and phthalate-free inks are easier on the environment. Taped shoulder seams provide a no-chafe fit. Recyclable through the Common Threads Recycling Program.Details: Ringspun yarns for a softer hand Taped shoulder seams Screen-print inks are PVC- and phthalate-freeFabric: 4.4-oz 100% organic cotton. Recyclable through the Common Threads Recycling ProgramWeight: (112 g 3.9 oz)Made in USA."
171,"Cap 1 bottoms - Made from our lightest-weight Capilene baselayer fabric, these soothing bottoms are soft and silky next to the skin. They wick perspiration, dry quickly, and breathe. A perfect layer under shell pants, they feature a scalloped-edge waistband that's brushed for softness, side seams that are rolled back to prevent chafe, and a gusseted crotch for better mobility. Made from 3.7-oz 100% all-recycled polyester, with Gladiodor natural odor control for the garment and 15-UPF sun protection. Recyclable through the Common Threads Recycling Program.Details: Silky soft Capilene 1 is the lightest of our technical baselayer fabrics ""Fast-drying, highly breathable and sleek, it provides 15-UPF sun protection and can be worn either on its own or under layers in cooler temps"" Scalloped edge elastic waistband is brushed for next-to-skin softness Side seams rolled back to prevent chafe Gusseted crotch for unimpeded mobilityFabric: 3.7-oz 100% recycled polyester with Gladiodor natural odor control for the garment and 15-UPF sun protection. Recyclable through the Common Threads Recycling ProgramWeight: (129 g 4.5 oz)Made in USA."
172,"Cap 1 t-shirt - As good as a breeze to calm the sweltering tempest, this silky T-shirt is made from our lightest-weight Capilene performance baselayer fabric. Ultralight, highly breathable and quick to dry, it features a brushed, folded-over elastic collar and V neck that are soft against the skin, and raglan sleeves that won't chafe beneath pack straps. With a straight hem. Made from 3.7-oz 100% all-recycled polyester, with Gladiodor natural odor control for the garment and 15-UPF sun protection. Recyclable through the Common Threads Recycling Program.Details: Silky soft Capilene 1 is the lightest of our technical baselayer fabrics ""Fast-drying, highly breathable and sleek, it provides 15-UPF sun protection and can be worn either on its own or under layers in cooler temps"" V-neck vents excess heat ""Brushed, fold-over elastic collar is soft against skin"" Cut long enough to tuck inFabric: 3.7-oz 100% recycled polyester with Gladiodor natural odor control for the garment and 15-UPF sun protection. Recyclable through the Common Threads Recycling ProgramWeight: (92 g 3.2 oz)Made in USA."
173,"Cap 2 bottoms - Simul-climbing the final pitches to beat a descending storm requires a cool head and an all-out pace. Perfect for such days beneath layers, these bottoms are made from an open-knit 4-oz 100% polyester (54% recycled) that breathes, wicks perspiration, and dries in a flash. They feature a scalloped-edge elastic waistband that's brushed for softness, and side seams that are set forward to eliminate chafe. A gusseted crotch improves range of motion. With Gladiodor natural odor control for the garment. Recyclable through the Common Threads Recycling Program.Details: Fabric has an open knit that invites airflow and provides excellent wicking for endurance activities in warm to moderate temperatures ""Fastest-drying of our Capilene fabrics, it insulates enough for use on chilly days and can be worn beneath other layers"" Scalloped edge elastic waistband brushed for next-to-skin softness Side seams set forward for better fit and freedom from chafe Gusseted crotch for unimpeded mobilityFabric: 4-oz 100% polyester (54% recycled) with Gladiodor natural odor control for the garment. Recyclable through the Common Threads Recycling ProgramWeight: 116 g (4.1 oz)Made in USA."
174,"Cap 2 v-neck - The climber's choice: Capilene 2 fabric manages the moisture of intricate approaches and the chill from an exposed belay. Its open knit delivers maximum breathability, superior wicking and the fastest dry time of all our Capilene fabrics. Worn on its own, it keeps you dry and cool during high-exertion activities in warm conditions. Worn under a shell when a chill wind blows, it wicks perspiration and helps to insulate. The V-neck's self-fabric neckline is feminine and feels soft. Highly breathable flat-rib panels under the arms and on the sides eliminate chafing, and raglan sleeves increase range of motion and comfort beneath pack straps. Made of 4-oz 100% polyester (54% recycled) with Gladiodor natural odor control for the garment. Recyclable through the Common Threads Recycling Program.Details: Fabric has an open knit that invites airflow and provides excellent wicking for endurance activities in warm to moderate temperatures ""Fastest-drying of our Capilene fabrics, it insulates enough for use on chilly days and can be worn beneath other layers"" ""V-neck helps ventilate, self-fabric neckline is soft next to skin"" Raglan sleeves for increased range of motion and comfort under pack straps ""Flat-rib panel-piecing under the arms and sides is exceptionally breathable, fast drying and eliminates armpit seam chafing""Fabric: 4-oz 100% polyester (54% recycled) with Gladiodor natural odor control for the garment. Recyclable through the Common Threads Recycling ProgramWeight: 130 g (4.6 oz)Made in Mexico."
175,"Cap 2 zip neck - The Bugaboos have long approaches that make you sweaty and blustery ridges that flash-freeze your core. This zip-neck is your first step to comfort, providing maximum breathability, superior wicking and the fastest dry time of all our Capilene fabrics. Worn on its own, it keeps you dry and cool during high-exertion activities in warm conditions. Worn under a shell when a chill wind blows, it wicks perspiration and helps to insulate. With a draft flap that backs the zipper, raglan sleeves and flat, offset seams to eliminate chafe. Flat-rib side panels are highly breathable. Made of 4-oz 100% polyester (54% recycled) with Gladiodor natural odor control for the garment. Recyclable through the Common Threads Recycling Program.Details: Fabric has an open knit that invites airflow and provides excellent wicking for endurance activities in warm to moderate temperatures ""Fastest-drying of our Capilene fabrics, it insulates enough for use on chilly days and can be worn beneath other layers"" Zip-neck for easy climate control is backed by draft flap and zipper garage Raglan sleeves and underarm panels merge out of the way of pack straps ""Flat-rib panel-piecing under the arms and sides is exceptionally breathable, fast drying and eliminates armpit seam chafing""Fabric: 4-oz 100% polyester (54% recycled) with Gladiodor natural odor control for the garment. Recyclable through the Common Threads Recycling ProgramWeight: (144 g 5 oz)Made in Mexico."
176,"Cap 4 bottoms - When your world consists of granite frozen into place, our Capilene 4 Bottoms keep you dry and warm with a cozy interior grid that traps heat, wicks perspiration, and breathes. A smooth, stretchy exterior glides easily beneath layers so you can concentrate on front-pointing or landing your tele. A brushed, scalloped-edge elastic waistband adds all-day softness. Made from 5.3-oz Polartec Power Dry 93% polyester (50% recycled)/7% spandex, with Gladiodor natural odor control for the garment. Recyclable through the Common Threads Recycling Program.Details: ""Our warmest baselayer fabric, Capilene 4 offers stretch, great breathability and compressibility"" ""Interior grid wicks moisture, trims bulk and provides warmth"" Smooth jersey face slides easily beneath layers ""4-panel construction, pull-on tights"" Scalloped-edge elastic waistband is brushed for next-to-skin softnessFabric: ""5.3-oz Polartec Power Dry 93% polyester (50% recycled)/7% spandex, with Gladiodor natural odor control for the garment. Recyclable through the Common Threads Recycling Program""Weight: (170 g 5.9 oz)Made in Costa Rica."
